date,raw_path,annotated_path,processing_scale,seed_pixels,preview_pixels,weak_uncertainty_percent,disagreement_percent,status,review_reason,six_panel_path,preview_path
2026-04-20,C:\Users\Chimera\Downloads\Strawberry 1\McIntyre-Road-4-20-2026-orthophoto-NDVI.tif,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\McIntyre-Road-4-20-2026-orthophoto-NDVI-annotated.png,1.0,1316104,5654660,8.925427839224179,15.89232284220084,REVIEW,annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-04-20\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-04-20\human_anchored_vigour_preview.png
2026-04-24,C:\Users\Chimera\Downloads\Strawberry 1\McIntyre-Road-4-24-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\McIntyre-Road-4-24-2026-orthophoto-NDVI-annotated.png,1.0,816949,5315993,40.82880096036568,16.642130254824473,REVIEW,high weak-margin uncertainty; annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-04-24\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-04-24\human_anchored_vigour_preview.png
2026-04-29,C:\Users\Chimera\Downloads\Strawberry 1\Mallard-Avenue-4-29-2026-s1-orthophoto-NDVI (1).jpg,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-4-29-2026-orthophoto-NDVI -annotated.png,1.0,1624572,5572762,71.5859172671463,7.232903922844174,REVIEW,high weak-margin uncertainty; annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-04-29\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-04-29\human_anchored_vigour_preview.png
2026-05-01,C:\Users\Chimera\Downloads\Strawberry 1\Mallard-Avenue-5-1-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-1-2026-orthophoto-NDVI-annotated.png,1.0,1636521,5225203,57.035693586441795,7.087509678675577,REVIEW,high weak-margin uncertainty; annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-01\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-01\human_anchored_vigour_preview.png
2026-05-08,C:\Users\Chimera\Downloads\Strawberry 1\McIntyre-Road-5-8-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\McIntyre-Road-5-8-2026-orthophoto-NDVI-annotated.png,0.32171581769436997,1311770,8654559,67.26426766089956,6.067345314398223,REVIEW,high weak-margin uncertainty; annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-08\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-08\human_anchored_vigour_preview.png
2026-05-12,C:\Users\Chimera\Downloads\Strawberry 1\Mallard-Avenue-5-12-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-12-2026-orthophoto-NDVI-annotated.png,1.0,783175,5396527,3.833146619089111,11.278241105717145,REVIEW,annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-12\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-12\human_anchored_vigour_preview.png
2026-05-18,C:\Users\Chimera\Downloads\Strawberry 1\Mallard-Avenue-5-18-2026-orthophoto-NDVI.tif,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-18-2026-orthophoto-NDVI-annotated.png,1.0,2302450,5191244,63.74735007048543,5.373265343456999,REVIEW,high weak-margin uncertainty; annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-18\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-18\human_anchored_vigour_preview.png
2026-05-22,C:\Users\Chimera\Downloads\Strawberry 1\Mallard-Avenue-5-22-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-22-2026-orthophoto-NDVI-annotated.png,1.0,695484,5193340,6.948862818827998,11.82630049209105,REVIEW,annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-22\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-22\human_anchored_vigour_preview.png
2026-05-27,C:\Users\Chimera\Downloads\Strawberry 1\McIntyre-Road-5-27-2026-orthophoto-NDVI.jpg,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\McIntyre-Road-5-27-2026-orthophoto-NDVI-annotated.png,1.0,584048,4991190,6.9108355712355145,17.89583017102619,REVIEW,annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-27\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-27\human_anchored_vigour_preview.png
2026-05-29,C:\Users\Chimera\Downloads\Strawberry 1\Mallard-Avenue-5-29-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-29-2026-orthophoto-NDVI---annotated-output.png,1.0,3357253,5166481,6.5849294317586935,12.403754655453712,REVIEW,annotated image resized to raw,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-29\six_panel_product_proof.png,D:\NDVI-dataset\MVP - ndvi progression\human_anchored_vigour_zone_preview_product\2026-05-29\human_anchored_vigour_preview.png
